0(Vehicle),,,,vehicleOrderId,,,,orderedById,,,,delivered?,,,,orderTime,,,,deliveryTime(unDelivered=(00-00-0000==00-00-00),,,,modelName,,,,({optionName};-;...)
1(SingleTask),,,,singleTaskOrderId,,,,orderedById,,,,delivered?,,,,orderTime,,,,deliveryTime(unDelivered=(00-00-0000==00-00-00),,,,optionName,,,,deadlineTime
Begin_OrderInfo
0,,,,1,,,,1,,,,1,,,,26-02-2014==12-30-05,,,,28-02-2014==14-02-50,,,,Model A,,,,sedan;-;blue;-;standard 2l v4;-;5 speed manual;-;leather white;-;no airco;-;comfort;-;no spoiler
0,,,,2,,,,2,,,,0,,,,27-02-2014==14-05-29,,,,00-00-0000==00-00-00,,,,Model A,,,,break;-;black;-;performance 2.5l v6;-;5 speed automatic;-;leather white;-;manual;-;comfort;-;no spoiler
0,,,,3,,,,2,,,,0,,,,27-02-2014==18-56-15,,,,00-00-0000==00-00-00,,,,Model B,,,,sedan;-;green;-;standard 2l v4;-;5 speed automatic;-;vinyl grey;-;automatic;-;winter;-;low
0,,,,4,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,5,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,6,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,7,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,8,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,9,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,10,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,11,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,12,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,13,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,14,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,15,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,16,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,17,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,18,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,19,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,20,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,21,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,22,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,23,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,24,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,25,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,26,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,27,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,28,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,29,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,30,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,31,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,32,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,33,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,34,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,35,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,36,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,37,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,38,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,39,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,40,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,41,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,42,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,43,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,44,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,45,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,46,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,47,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,48,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,49,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,50,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,51,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
